index;prenom;nom;age;numero_etudiant
66;Cyriaque;DELAUNAY ;77;53595680
67;Aldonce;GUILLOT ;79;57022528
68;Madyson;ROUSSEL ;71;91385817
69;Liétald;ANTOINE ;82;74472027
70;Gabin;LATOUR ;74;15111219
71;Aldegrin;VERGER ;91;45554120
72;Zéphirin;ARNOULD ;96;61363280
73;Séverine;GUILLON ;92;27654613
74;Aurian;MILLET ;87;26045593
75;Adonis;JACQUES ;23;44049679
76;Olivier;FAVIER ;71;12213524
77;Ronan;VOISIN ;40;21153960
78;Arnalde;CAPRON ;93;84810838
79;Aimable;PIOT ;77;79018859
80;Yvonne;BRIAND ;26;12593936
81;Odilon;NAVARRO ;94;26118608
82;Mélanie;POULET ;61;95666539
83;Azelle;LIENARD ;31;55529320
84;Iseult;BOURGEOIS ;42;44489223
85;Leufroy;GOMEZ ;31;60689064
86;Aloys;HUE ;91;61089517
87;Aline;VALENTIN ;77;86199862
88;Baptiste;SEGUIN ;70;43895320
89;Théophraste;LEVEQUE ;50;21150468
90;Iseult;PROUST ;33;30637192
91;Béranger;GERVAIS ;18;17866742
92;Colas;BILLARD ;96;90300470
93;Alexie;CHOQUET ;99;59753291
94;Arthaud;NEVEU ;82;64653780
95;Kilian;GARREAU ;90;59131176
96;Florence;BOULARD ;68;95199625
97;Denise;LE BERRE ;85;44779504
98;Abraham;LEFRANC ;93;91555466
99;Dorothée;BAILLEUL ;41;29865599
100;Franck;MAURICE ;18;17012822
101;Solange;ROBIN ;32;74121794
102;Mathurin;COLLIGNON ;18;74852043
103;Zéphirin;GALLET ;83;31322736
104;Olive;BARRET ;66;59418524
105;Gertrude;THIBAULT ;43;58517375
106;Flore;MAYER ;28;78110384
107;Maguelone;PARIS ;95;75312921
108;Damien;LACOMBE ;90;21135944
109;Amalric;MAHE ;86;59459707
110;Karine;LE BRUN ;37;45329428
111;Bernard;NEDELEC ;79;76265082
112;Mence;POIROT ;60;72631102
113;Théophraste;CHATEAU ;27;39465173
114;Abigaïl;HILAIRE ;41;2508991
115;Arcadiane;MEYER ;94;22182989
116;Colin;JEANNE ;56;28493792
117;Aurian;SCHAEFFER ;55;92666758
118;Régis;CHATELAIN ;49;69978439
119;Mathis;HERNANDEZ ;82;66343827
120;Baudouin;MONNIER ;53;7624335
121;Armandine;JANIN ;29;32041403
122;Juliette;OLLIVIER ;45;83156752
123;Gaud;VILLENEUVE ;45;27607588
124;Lou;LENOIR ;99;60359924
125;Noël;CLEMENT ;20;62022475
126;Rolande;DROUET ;49;48321540
127;Agrippine;FOUQUET ;46;84368340
128;Cora;COTTIN ;28;45044596
129;Iris;GOUPIL ;23;19619301
130;Delphine;GIRARD ;77;12251110
131;Arminie;GASNIER ;61;16945297
132;Epiphane;BERNIER ;47;46322902
133;Agénor;COCHET ;39;77851069
134;Arminie;RAULT ;30;93862972
135;Anastasie;MOINE ;54;88415316
136;Françoise;FAYE ;42;91086860
137;Mégane;BENOIT ;79;35224654
138;Grégoire;PELLERIN ;79;72889512
139;Eva;DIOT ;93;75533942
140;Astrée;GARREAU ;74;42937872
141;Andéol;MOREL ;64;5294101
142;Jérôme;MARY ;19;68681168
143;Brigitte;LEROY ;22;85979974
144;Gustavine;RIBEIRO ;36;67661782
145;Audouin;DURIEZ ;45;88853616
146;Orlane;CONAN ;97;62165936
147;Eléna;FERRY ;56;79392254
148;Axeline;VAILLANT ;47;88489902
149;Gislebert;CORRE ;68;38338115
150;Yoann;JOUBERT ;54;60944931
151;André;GODARD ;28;69790100
152;Hélène;BUISSON ;100;71552313
153;Amédée;FAIVRE ;78;8580122
154;Nadia;PAQUET ;98;38856325
155;César;RAYNAL ;34;91051680
156;Douce;BOULET ;47;61628293
157;Cyriaque;BOURBON ;76;10690242
158;Esther;HUGUET ;100;60291315
159;Corinne;SERGENT ;69;12258928
160;Aymardine;HOARAU ;83;34198238
161;Nathalie;BOISSON ;95;77814546
162;Ella;MOUTON ;73;59940515
163;Cyprien;BAILLET ;32;64832885
164;François;MARIE ;86;76966081
165;Azélie;GALLAND ;97;79158527
166;Ségolène;CHARLET ;26;8101911
167;Alexis;BROCHARD ;22;21007924
168;Hédelin;ROUAULT ;33;38284474
169;Côme;REY ;67;14318020
170;Valentine;ACHARD ;83;80936960
171;Adrehilde;LAMBERT ;66;1553069
172;Charlotte;ROSSI ;33;89579333
173;Aricie;RIVIERE ;44;9536399
174;Bernadette;ALLARD ;67;31382288
175;Alexane;LAFOND ;80;67370707
176;Gaston;ARNOULD ;71;61060284
177;Octave;TIXIER ;63;4662456
178;Flavie;COUTURIER ;18;82533041
179;Clémence;BAUDET ;71;19497470
180;Marlène;LELEU ;88;29397514
181;Charlène;PETER ;45;90412320
182;Adraste;COURTIN ;17;6414759
183;Ascelin;LEMONNIER ;17;24283515
184;Clémentine;FAVIER ;49;29837117
185;Roch;ALBERT ;79;61951172
186;Noémie;THERY ;25;40599032
187;Avoye;DELAUNAY ;83;31394044
188;Lothaire;BELLANGER ;48;50784942
189;Aignan;LEVEQUE ;90;38595776
190;Grégoire;GEFFROY ;28;65681846
191;Thaïs;MONNET ;36;57967059
192;Amaryllis;PETER ;31;78647605
193;Apollonie;VIAL ;29;71717767
194;Aimable;GODARD ;54;77539333
195;Bertille;CALVET ;47;56029439
196;Clémentine;PRUVOST ;98;32949527
197;Hippolyte;DUBOIS ;89;56778119
198;Gonzague;DUBOIS ;18;87725505
199;Annette;BOUR ;42;10520468
200;Laurel;BONNEAU ;60;38957972
201;Loïc;COUTANT ;83;49537213
202;Lilian;GARNIER ;78;65809470
203;Sandrine;BOUTET ;44;16354820
204;Anthelme;POISSON ;54;20343728
205;Albéric;MARC ;56;7717700
206;Anis;LECOQ ;94;61610508
207;Annie;MAIRE ;45;66296631
208;Malaury;GARNIER ;28;46259471
209;Quentin;COURTOIS ;96;66316698
210;Olivier;GUILBERT ;21;23984973
211;Justin;FERNANDES ;62;58384155
212;Mauricet;JACQUEMIN ;83;70328023
213;Yvonne;CARTIER ;95;1324804
214;Gaston;LEMARCHAND ;97;46367917
215;Jacinthe;MAGNE ;72;52564894
216;Morgane;REGNIER ;77;70791405
217;Adolphe;PAPIN ;60;98988795
218;César;PUECH ;75;24398835
219;Bouchard;LOISEL ;98;96006848
220;Huguette;ROUSSELLE ;22;31393105
221;Renaud;ARMAND ;76;12279363
222;Jude;CHEVRIER ;99;44447835
223;Madeleine;PARIS ;36;7533980
224;Alexandre;LE MEUR ;72;49953371
225;Armance;GUERIN ;48;18161983
226;Firmin;DOS SANTOS ;97;96342335
227;Jeannot;PEPIN ;41;46263931
228;Eustache;LEBAS ;32;18242952
229;Antigone;LECOQ ;66;61526708
230;Chrétien;CASANOVA ;99;34296891
231;Constantin;MONNET ;90;73097481
232;Alcide;ACHARD ;98;61153949
233;Charlène;DIAZ ;43;79628176
234;Adèle;PIOT ;71;20709011
235;Adalbéron;LEGAY ;31;13736377
236;Julien;BOUSQUET ;97;5071870
237;Adalsinde;BAZIN ;60;1900496
238;Fulcran;MARTY ;71;24245707
239;Blandine;BOUILLON ;55;83596180
240;Aquilin;CAMUS ;79;4896575
241;Annibal;GUILLOU ;53;85609606
242;Yolande;RAFFIN ;53;94861588
243;Priscille;SERRES ;99;49347359
244;Henri;GAUCHER ;67;31654816
245;Marguerite;NOEL ;43;81230259
246;Azeline;FOULON ;96;42930431
247;Cassien;MAGNE ;47;37091638
248;Enimie;LEVEQUE ;60;97355168
249;Avigaelle;DA SILVA ;58;64062787
250;Evelyne;RENAUDIN ;59;7693310
251;Carle;PRIEUR ;59;4859978
252;Lorraine;NEVEU ;81;43361049
253;Marcelin;GUILLEMIN ;93;60059417
254;David;FERREIRA ;77;26105931
255;Raoul;COTTIN ;94;84360323
256;Céline;BERTHE ;32;64856298
257;Félicité;GRANIER ;81;45395455
258;Carloman;LECLERCQ ;33;11576623
259;Suzanne;FAYOLLE ;74;68560420
260;Laurine;BOUTIN ;82;18937905
261;Apollon;LE ROY ;27;81960552
262;Théophile;MAGNIER ;82;59950786
263;Laureene;DUMAS ;55;8974355
264;Aymonde;GODARD ;52;3659367
265;Etienne;CHAUVIN ;74;85663191
266;Lydie;LEJEUNE ;45;21683115
267;Margaux;VILLETTE ;87;94076499
268;Sacha;OUVRARD ;67;90616092
269;Hubert;NORMAND ;68;23237354
270;Andéol;BRIERE ;92;17877989
271;Mence;EVRARD ;51;23581680
272;Amalric;BRAULT ;82;46749242
273;Anceline;SALLES ;54;45403905
274;Loup;DESCAMPS ;73;5078525
275;Jourdain;VAILLANT ;82;85461622
276;Françoise;GIL ;98;41785391
277;César;BARRE ;32;88298864
278;Nicolas;LABBE ;60;52769877
279;Esther;ROUXEL ;24;59276081
280;Robert;HUARD ;72;91735828
281;Azel;SEGUIN ;88;94249789
282;Flavien;BROUSSE ;18;88204404
283;Camillien;JANIN ;26;16699697
284;Méline;MAZET ;31;95078070
285;Loïc;DUPONT ;72;53391209
286;Adalsinde;LE FLOCH ;94;73721626
287;Audrey;GUICHARD ;42;68504530
288;Inès;CHARRIER ;55;42279522
289;Juste;DEMANGE ;91;40560075
290;Damien;JEANNE ;62;15964289
291;Gui;LAFOND ;54;41848372
292;Anicet;FORT ;87;1198103
293;Innocent;FAVIER ;81;93781391
294;Gonzague;MEUNIER ;51;72247745
295;Marina;ETIENNE ;64;71680818
296;Célestin;VERGER ;81;15482756
297;Audrey;CHATEAU ;87;81316689
298;Guy;ROLLAND ;55;2669385
299;Leu;CORNU ;68;60727452
300;Claire;COUDERT ;83;12750173
301;Hector;PELTIER ;84;88336417
302;Dorian;BARREAU ;96;60473279
303;Alphonsie;BOCQUET ;75;44852085
304;Rémy;MARION ;19;94738418
305;Adélie;CORMIER ;100;57529756
306;Fiacre;CONSTANT ;77;51899771
307;Ambroisie;CHAMPION ;22;25805570
308;Sidoine;VIGNERON ;68;2622780
309;Léo;CLAVEL ;99;36380796
310;Aubin;LE GOFF ;93;7242456
311;Archambeau;GOUPIL ;77;35707357
312;Yse;ROUAULT ;74;37311797
313;Guillemette;BESNIER ;37;99473575
314;Yseult;BELLEC ;60;26300217
315;Aelis;PRUDHOMME ;28;23117528
316;Taurin;ARNOUX ;77;29829391
317;Venceslas;CLAUDEL ;96;62215161
318;Virginie;GIRAULT ;29;81854819
319;Martin;LAPLACE ;95;49927379
320;Gabrielle;NICOLAS ;35;33654201
321;Julia;BON ;95;42129026
322;Guilhemine;PASCAL ;59;62533475
323;Nicci;CAPELLE ;68;57009383
324;Cassien;FROMENT ;94;50350963
325;Ysoline;BELIN ;32;90206904
326;Eve;SIMONNET ;61;44093240
327;Noëlle;RODIER ;43;56740754
328;Alberte;PROVOST ;46;28282309
329;Anglebert;LEBEAU ;37;34430697
330;Arnaude;CHARTIER ;28;9211058
331;Hincmar;FOUQUET ;54;38251516
332;Océan;RONDEAU ;21;55113040
333;Hermione;SAULNIER ;77;46375912
334;Blanche;LEGROS ;47;42954351
335;Germain;BLANDIN ;20;7806292
336;Joëlle;COSTA ;82;29791936
337;Jeanne;BOUQUET ;94;12454401
338;Axelle;GENTY ;93;85659083
339;Annette;ARNOUX ;37;14631500
340;Eléonore;LACOSTE ;31;15979955
341;Aldegrin;LAMOTTE ;72;3738697
342;Maëlys;TARDY ;51;58411361
343;Eva;BAZIN ;74;72969572
344;Abdonie;BODIN ;65;22686055
345;Antoinette;JACOB ;58;31166360
346;Agénor;SALOMON ;33;40715138
347;Laure;MAGNIER ;29;85472438
348;Madeleine;PAYEN ;39;85441426
349;Célestine;VILLAIN ;58;95974985
350;Marlène;BONIN ;65;69558465
351;Blanche;HAMELIN ;20;36321434
352;Bastien;BAILLEUL ;69;21183375
353;Aubane;VALENTIN ;76;72148913
354;André;MERLE ;33;30339204
355;Marc;TORRES ;37;41472812
356;Azeline;SALMON ;52;76263040
357;Théodora;COLLIGNON ;100;94549477
358;Kilian;PROVOST ;79;65322616
359;Dominique;GODIN ;70;38903345
360;Flavie;CHARLES ;37;1100761
361;Marie;FERRARI ;28;62483900
362;Tancrède;MARION ;88;4501312
363;Tonnin;RENAUD ;25;1753076
364;Athénaïs;LEVEQUE ;75;19956852
365;Aldonce;MARAIS ;68;33145353
366;Aymard;AUFFRET ;23;98282861
367;Guillaume;VILLETTE ;53;8002715
368;Cyrielle;MOINE ;75;64114210
369;Rémy;KELLER ;62;88584673
370;Thaïs;PERRET ;58;1639597
371;Sébastien;LOUIS ;73;11380187
372;Ansberte;TELLIER ;68;96447884
373;Joséphine;LEGENDRE ;79;27386685
374;Adalbert;KOCH ;89;3082560
375;Justine;LECERF ;38;30663173
376;Aricie;TEXIER ;28;72237410
377;Aymond;LE BORGNE ;49;76218400
378;Judith;VIALA ;27;78873027
379;Anastasie;DOUCET ;65;98795375
380;Christine;LEHMANN ;67;82436940
381;Pécine;LAVAUD ;88;39556689
382;Valentine;LECOMTE ;58;28642983
383;Alphonsie;ROCHE ;68;81928060
384;Julien;JEGOU ;60;28057924
385;Alcide;NOEL ;60;65165127
386;Henri;COMBE ;59;61101178
387;Aulde;CHABERT ;92;25608525
388;Sibylle;DUBUS ;63;85628415
389;Césaire;GROS ;88;80170361
390;Victorine;HAMEL ;89;31275768
391;Adélie;DARRAS ;66;13698499
392;Eudes;FERNANDES ;70;69472908
393;Amédée;DUCHESNE ;29;71578231
394;Abel;VERNET ;45;69408799
395;Apollon;VILLETTE ;26;89297117
396;Aquiline;LETELLIER ;69;14526556
397;Alcée;BROSSARD ;55;46830016
398;Alix;PASQUET ;20;87096752
399;Adrienne;ALEXANDRE ;98;72377305
400;Auguste;ANDRIEU ;20;51607790
401;Céleste;GIL ;50;61281806
402;Séverine;AVRIL ;63;34049564
403;Hardouin;DROUIN ;97;43980404
404;Argine;COTTIN ;81;45053375
405;Léna;GUEGAN ;68;72875392
406;Céleste;LECLERCQ ;19;49540207
407;Armand;PERRIER ;64;84572513
408;Ange;PICHARD ;23;25801201
409;Titien;ROY ;64;46038427
410;William;GRAND ;19;48371584
411;Lilian;MARAIS ;67;63315976
412;Fulbert;MAUREL ;29;89403700
413;Arlette;JULIEN ;30;17381220
414;Adrienne;BOURBON ;79;19328025
415;Syrine;JACQUES ;18;39608712
416;Childebert;GODEFROY ;26;99685350
417;Améthyste;ANDRIEUX ;75;85354260
418;Réjean;PAILLARD ;65;43504356
419;Maurice;LEFEBVRE ;43;65010
420;Augustine;DURET ;41;12495885
421;Juliette;HERNANDEZ ;69;45638607
422;Agathon;FERRY ;27;44861504
423;Georgette;GILLES ;82;45788506
424;Sylvestre;MURAT ;22;30148134
425;Adegrin;LANDRY ;83;64647309
426;Agapet;PARENT ;58;93560432
427;Carloman;JOURDAN ;64;3699329
428;Malhaury;THEVENIN ;97;82592946
429;Agathe;GAUCHER ;18;94866828
430;Fulbert;POIRIER ;42;214698
431;Turold;SENECHAL ;38;33445131
432;Morgane;PAIN ;45;62341218
433;Aubertine;BARTHE ;41;30945776
434;Marceline;FERRARI ;42;69413567
435;Acanthe;LERAY ;33;30616267
436;Thibert;GUILLOT ;67;61192711
437;Astérie;BRIAND ;73;87281572
438;Odile;VARIN ;83;52346860
439;Eléis;LANGLAIS ;36;39575875
440;Pécine;MARIN ;72;86450327
441;Françoise;PASQUET ;30;17942044
442;Gaëlle;DELATTRE ;60;85570478
443;Athanasie;DANIEL ;50;38050759
444;Mahaut;LOPEZ ;33;93778721
445;Esther;FERRAND ;86;45853348
446;Valentin;GUIBERT ;59;5830702
447;Arabelle;POMMIER ;52;25958397
448;Emeline;RAIMBAULT ;90;50899343
449;Denise;ROLAND ;89;30907997
450;Noyale;MARTINS ;98;65394752
451;Constant;GIRAULT ;40;59653769
452;Thibault;CASANOVA ;22;59575454
453;Syrine;CHARDON ;50;20566667
454;Alexis;BONIN ;86;6548314
455;Yvon;HEBERT ;36;53068880
456;Agathe;DEVOS ;61;46387094
457;Aline;MUNOZ ;52;9049951
458;Aleth;FABRE ;60;7720745
459;Jude;BOCQUET ;35;32672151
460;Amaryllis;BELIN ;88;39975722
461;Gonzague;DUPRE ;19;44085528
462;Rose;MICHELET ;39;43488818
463;Emilien;LE BIHAN ;89;29559626
464;Lorraine;CROUZET ;76;30947718
465;Henri;LOPEZ ;97;7189372
466;Alcée;BARTHE ;81;53590333
467;Patrice;GIRARD ;97;75448566
468;Amande;MERCIER ;90;22173087
469;Colas;MACE ;92;36661068
470;Médéric;LAMBERT ;79;3169428
471;Agapet;POLLET ;78;65147971
472;Valère;PHILIPPON ;64;2610199
473;Fanny;MARTINET ;34;37473381
474;Leufroy;LECOCQ ;58;6790963
475;Armine;PARMENTIER ;23;4646420
476;Philibert;ROBIN ;55;27691177
477;Gwenaëlle;BOCQUET ;19;73648485
478;Isadora;PRIEUR ;72;18748309
479;Syrine;LE BORGNE ;30;53030352
480;Andelin;CROS ;90;90118816
481;Léonne.;PARIS ;31;7045305
482;Cyriaque;MAURICE ;32;56916569
483;Valéry;OLIVIER ;97;27835152
484;Epiphane;BUREL ;74;14776317
485;Arabelle;DELPECH ;55;92793064
486;Japhet;MOUNIER ;87;97113599
487;Louna;DUCLOS ;100;40218448
488;Adrien;AUBERT ;51;77373690
489;Isadora;GILLET ;24;16054154
490;Viviane;BASTIEN ;33;36996495
491;Amant;GAUTHIER ;85;25330241
492;Cassien;LAVIGNE ;67;95155192
493;Pécine;COLLET ;33;91238849
494;Philippine;CHARLET ;39;61634791
495;Ariane;PAUL ;34;28484597
496;Abdonise;FAVRE ;32;54160278
497;Daphnée;GOMES ;93;22771893
498;Cyriaque;COCHET ;40;25963210
499;Claire;VARLET ;64;38691121
500;Emmanuelle;CORNU ;36;47464647
501;Aldemar;PRUVOST ;80;66671945
502;Miriam;TELLIER ;100;54084309
503;Julie;ANDRIEUX ;98;65022866
504;Armance;CHABERT ;56;4559113
505;Asceline;BERTIN ;73;64744883
506;Eustache;TERRIER ;49;93767388
507;Auriane;LELIEVRE ;27;58592549
508;Virginie;CHATELAIN ;76;3090623
509;Olivia;PONCET ;63;15545491
510;Benjamin;DA COSTA ;51;98403569
511;Kilian;MONIER ;70;65318788
512;Aymardine;GUIRAUD ;43;53629614
513;Gerberge;COURTIN ;24;33050605
514;Benoît;RODRIGUEZ ;44;83825229
515;Bernard;VIGNERON ;75;68756133
516;Barnabé;DUPRAT ;79;96704262
517;Isidore;LACAZE ;70;39052694
518;Althée;SABATIER ;87;85020623
519;Quentin;DUHAMEL ;28;41554063
520;Antheaume;VILLETTE ;95;93071895
521;Arnould;VERGNE ;95;49432519
522;Johan;BABIN ;27;77879951
523;Alice;DURIEUX ;47;28698531
524;Lothaire;JACQUES ;72;12432715
525;Arnaud;GUEGAN ;29;44317842
526;Esther;BARON ;66;27748266
527;Constantin;GUILLAUME ;65;12444071
528;Japhet;HUET ;89;51625961
529;Alphonsie;LAFON ;49;28664417
530;Mylène;JARRY ;90;26411762
531;Priscille;SAMSON ;20;7623726
532;Raymond;HEBERT ;75;60098054
533;Apollonie;LALLEMENT ;74;37559594
534;Louise;HONORE ;94;81357034
535;Wendy;CALVET ;77;46033641
536;Anis;BAPTISTE ;34;22684950
537;Cosette;CLEMENT ;92;28912552
538;Gaston;BESSE ;91;4089712
539;Cora;ROYER ;76;55118037
540;Automne;CARDON ;31;37515814
541;Savin;OLIVIER ;82;45023608
542;Albin;BARRIERE ;45;81363047
543;Karen;LAPLACE ;28;56904852
544;Théodora;REBOUL ;21;51819373
545;Jean;DOS SANTOS ;30;35585625
546;Coralie;COUDERC ;47;86429044
547;Théodore;JAMES ;53;71753159
548;Nicolette;TOURNIER ;86;18177777
549;Tancrède;GUYOT ;48;59466619
550;Adalard;AUGE ;23;5507881
551;Stanislas;GILBERT ;93;37119931
552;Julia;PIERRON ;31;48484290
553;Noémie;SALOMON ;85;47852298
554;Scholastique;COLLARD ;76;53771997
555;Jules;GODIN ;31;33203240
556;Taurin;MAHE ;76;82364244
557;Ancelin;DARRAS ;85;76983906
558;Hédelin;CHEMIN ;75;26936262
559;Azeline;BOURDON ;26;61047778
560;Abélie;POTTIER ;20;41700280
561;Mélina;BONNARD ;77;86475639
562;Arcadie;MILLOT ;30;3297186
563;Asceline;MERLET ;34;78719559
564;Clémentine;BESSE ;81;31344945
565;Ancelin;HARDY ;23;9481110
566;Karine;MILLOT ;55;8505730
567;Cyrielle;CAILLET ;100;84812229
568;Yannick;LARCHER ;52;8041870
569;Vanessa;SCHWARTZ ;75;70413491
570;Lucienne;MULLER ;56;62695857
571;Astrée;PINSON ;92;4433759
572;Auriane;GUIRAUD ;91;39769677
573;Célestine;AUGER ;35;13008693
574;Alain;BOULARD ;85;76878826
575;Léon;LEROY ;42;75580025
576;Adrienne;GAY ;66;97352432
577;Raphaël;FERRIER ;93;93385596
578;Julien;DUBREUIL ;98;16054777
579;Avigaelle;RUIZ ;68;72377611
580;Hincmar;CARTON ;70;85570687
581;Félicie;ARNAL ;53;62878999
582;Margot;BATAILLE ;83;36738547
583;Ambroisine;MILLE ;40;34967375
584;César;NAVARRO ;70;60421696
585;Francis;LECOCQ ;66;85080086
586;Germain;COLLARD ;82;57242498
587;Andoche;RODIER ;54;30630196
588;Mahault;LECONTE ;81;51554741
589;Louna;BENOIT ;95;96542967
590;Candide;MARCHAL ;27;85573307
591;Adonise;LABBE ;70;3446547
592;Tonnin;GERVAIS ;62;87671233
593;Christiane;ROLAND ;67;25932763
594;Dorine;PICARD ;92;2741240
595;Aldegrin;GALLOIS ;67;426703
596;Lionel;COUTURIER ;75;69484775
597;Jacqueline;ESNAULT ;70;66378276
598;Colas;LELONG ;93;4325351
599;Adam;COMBE ;43;26523376
600;Damien;JOSSE ;50;57336713
601;Alcime;GUIGNARD ;76;4436533
602;Jacques;TOUSSAINT ;61;83320402
603;Siméon;MASSE ;88;7390094
604;Abdon;CHATEAU ;83;20890062
605;Roméo;DUBREUIL ;84;69186632
606;Mayeul;PIQUET ;87;1024489
607;Marceline;BROCHARD ;21;50994438
608;Odon;DIOT ;48;84358082
609;Corentin;TISSERAND ;19;38046544
610;Aude;MURAT ;95;14990338
611;Matthias;BARTHE ;60;83164918
612;Matthias;FUCHS ;40;85048771
613;Firmin;GENTY ;93;34198993
614;Christiane;BONNET ;23;85430533
615;Sophie;BLANDIN ;39;25616819
616;Alcibiade;DIOT ;55;22651183
617;Aloïse;MAUREL ;64;17664070
618;Lambert;GODET ;99;75386328
619;Loup;GRAND ;77;89817577
620;Huguette;VERGER ;94;54655638
621;Abélie;BOUILLON ;50;52000458
622;Mallaury;LARUE ;98;26133943
623;Automne;PINSON ;62;17078133
624;Irène;OLLIER ;40;30546560
625;Aldemar;DEVILLE ;52;94053219
626;Emilie;JARRY ;49;30887895
627;Angilbe;DEMAY ;72;30858333
628;Naudet;FOREST ;59;81534825
629;Mahaut;MARIN ;71;62705721
630;Laurène;BUISSON ;50;53017021
631;Absalon;ROUX ;69;2116345
632;Antide;MARIN ;50;84461402
633;Alcide;PERRIN ;37;30865604
634;Agnane;CHABOT ;17;32497468
635;Raphaëlle;ARNAL ;20;91906417
636;Lucille;GICQUEL ;88;20859009
637;Nolwenn;ARNAL ;75;91095996
638;Mélysandre;LEVASSEUR ;76;71833225
639;Eléna;NEDELEC ;91;41746968
640;Côme;BONNET ;100;47091656
641;Marion;CELLIER ;84;65831554
642;Girart;MARAIS ;44;64257235
643;Herluin;CLERC ;17;52399320
644;Théodora;BILLON ;39;80038267
645;Ange;MARTEAU ;37;80335992
646;Rose;BENOIST ;65;31727549
647;Emilien;JAOUEN ;41;77351784
648;Henriette;POISSON ;24;69141472
649;Mence;FAYOLLE ;35;55473243
650;Kevin;GUILLAUME ;94;52603828
651;Danièle;CHATELAIN ;65;91027849
652;Azélie;BARRAUD ;25;18973234
653;Hugo;FERRAND ;63;60626360
654;Naudet;VERNET ;59;74535353
655;Naudet;CHOQUET ;71;45793063
656;Suzanne;NOEL ;39;45136195
657;Andoche;HUARD ;19;21106992
658;Aldegonde;FERRARI ;31;97669810
659;Adalard;BEAUFILS ;95;82658241
660;Ernestine;TURPIN ;47;96003341
661;Louna;BAPTISTE ;78;93485887
662;Nestor;DUVAL ;72;62495324
663;Aquilin;GICQUEL ;50;4738072
664;Aleth;BONNEFOY ;34;76192850
665;Agnan;BROCHARD ;25;1918602
666;Jourdain;LE ROUX ;55;92504995
667;Moïse;CROUZET ;65;99730020
668;Chamas;SERRES ;83;12632208
669;Laureene;DUPRAT ;70;52732281
670;Roch;PELISSIER ;46;53701502
671;Baptiste;ROLLAND ;62;96966618
672;Chrystèle;LE BRETON ;82;19823956
673;Leu;COMTE ;27;35525017
674;Daniel;BESSE ;63;65665362
675;Anicée;PIOT ;84;91808090
676;Elsa;PINEL ;86;43767360
677;Marius;ROQUES ;51;80549872
678;Félix;LEBRUN ;97;38952619
679;Adalbert;TURPIN ;89;45371056
680;Amantine;AUFFRET ;18;97547761
681;Aubane;CORNU ;64;23293179
682;Julie;GUILLOU ;64;34525333
683;Albéric;GIRAUD ;31;98207233
684;Blanche;LEFRANC ;21;89376643
685;Albertine;GAULTIER ;67;71566463
686;Ulrich;FOUCAULT ;19;74076076
